ts_code,trade_date,open,close,high,low,pre_close,change,pct_chg,swing,vol
SPX,20241120,5914.34,5917.11,5920.67,5860.56,5916.98,0.13,0.0,1.02,2578080.0
SPX,20241119,5870.05,5916.98,5923.51,5855.29,5893.62,23.36,0.4,1.16,2673923.0
SPX,20241118,5874.17,5893.62,5908.12,5865.95,5870.62,23.0,0.39,0.72,2820487.0
SPX,20241115,5912.79,5870.62,5915.32,5853.01,5949.17,-78.55,-1.32,1.05,3288789.0
SPX,20241114,5989.68,5949.17,5993.88,5942.28,5985.38,-36.21,-0.6,0.86,2623462.0
SPX,20241113,5985.75,5985.38,6008.19,5965.91,5983.99,1.39,0.02,0.71,2602203.0
SPX,20241112,6003.6,5983.99,6009.92,5960.08,6001.35,-17.36,-0.29,0.83,2611468.0
SPX,20241111,6008.86,6001.35,6017.31,5986.69,5995.54,5.81,0.1,0.51,2714210.0
SPX,20241108,5976.76,5995.54,6012.45,5976.76,5973.1,22.44,0.38,0.6,2756537.0
SPX,20241107,5947.21,5973.1,5983.84,5947.21,5929.04,44.06,0.74,0.62,3071244.0
SPX,20241106,5864.89,5929.04,5936.14,5864.89,5782.76,146.28,2.53,1.23,4192067.0
SPX,20241105,5722.43,5782.76,5783.44,5722.1,5712.69,70.07,1.23,1.07,2366843.0
SPX,20241104,5725.15,5712.69,5741.43,5696.51,5728.8,-16.11,-0.28,0.78,2423396.0
SPX,20241101,5723.22,5728.8,5772.52,5723.22,5705.45,23.35,0.41,0.86,2742173.0
SPX,20241031,5775.34,5705.45,5775.34,5702.86,5813.67,-108.22,-1.86,1.25,3332361.0
SPX,20241030,5832.65,5813.67,5850.94,5811.28,5832.92,-19.25,-0.33,0.68,2847423.0
SPX,20241029,5819.68,5832.92,5847.19,5802.17,5823.52,9.4,0.16,0.77,2572019.0
SPX,20241028,5833.93,5823.52,5842.92,5823.08,5808.12,15.4,0.27,0.34,2209335.0
SPX,20241025,5826.75,5808.12,5862.82,5799.98,5809.86,-1.74,-0.03,1.08,2270597.0
SPX,20241024,5817.8,5809.86,5817.8,5784.92,5797.42,12.44,0.21,0.57,2283228.0
SPX,20241023,5834.5,5797.42,5834.85,5762.41,5851.2,-53.78,-0.92,1.24,2375100.0
SPX,20241022,5832.7,5851.2,5863.04,5821.17,5853.98,-2.78,-0.05,0.72,2245294.0
SPX,20241021,5857.82,5853.98,5866.92,5824.79,5864.67,-10.69,-0.18,0.72,2091356.0
SPX,20241018,5859.43,5864.67,5872.17,5846.11,5841.47,23.2,0.4,0.45,2157845.0
SPX,20241017,5875.62,5841.47,5878.46,5840.25,5842.47,-1.0,-0.02,0.65,2394376.0
SPX,20241016,5816.58,5842.47,5846.52,5808.34,5815.26,27.21,0.47,0.66,2301295.0
SPX,20241015,5866.74,5815.26,5870.36,5804.48,5859.85,-44.59,-0.76,1.12,2828510.0
SPX,20241014,5829.81,5859.85,5871.41,5829.57,5815.03,44.82,0.77,0.72,2003295.0
SPX,20241011,5775.09,5815.03,5822.13,5775.09,5780.05,34.98,0.61,0.81,2154169.0
SPX,20241010,5778.36,5780.05,5795.03,5764.76,5792.04,-11.99,-0.21,0.52,2091866.0
SPX,20241009,5751.8,5792.04,5796.8,5745.02,5751.13,40.91,0.71,0.9,2222041.0
SPX,20241008,5719.14,5751.13,5757.6,5714.56,5695.94,55.19,0.97,0.76,2274877.0
