ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000001.SH,20251027,3996.9445,3969.2197,3999.0667,3963.1017,3950.3115,46.633,1.1805,637589545.0,1043404043.2
000001.SH,20251024,3950.3115,3929.115,3950.3115,3928.9598,3922.4101,27.9014,0.7113,567858443.0,858491253.2
000001.SH,20251023,3922.4101,3904.159,3926.2171,3877.5294,3913.7576,8.6525,0.2211,565189264.0,718931052.0
000001.SH,20251022,3913.7576,3896.0736,3918.5924,3893.325,3916.3322,-2.5746,-0.0657,543117344.0,741524798.4
000001.SH,20251021,3916.3322,3870.7488,3919.3183,3868.1453,3863.8926,52.4396,1.3572,599415713.0,837938398.3
000001.SH,20251020,3863.8926,3865.5523,3877.7215,3850.3673,3839.7553,24.1373,0.6286,549261712.0,772503219.6
000001.SH,20251017,3839.7553,3912.0403,3921.0648,3835.3648,3916.228,-76.4727,-1.9527,617563018.0,873181597.9
000001.SH,20251016,3916.228,3900.6834,3931.05,3899.1673,3912.2095,4.0185,0.1027,595451491.0,869264580.5
000001.SH,20251015,3912.2095,3867.5364,3912.2912,3857.6668,3865.2289,46.9806,1.2155,645012955.0,961552165.6
000001.SH,20251014,3865.2289,3910.7825,3918.4357,3851.1209,3889.5022,-24.2733,-0.6241,800839631.0,1209983827.7
000001.SH,20251013,3889.5022,3800.1055,3895.83,3800.1055,3897.0281,-7.5259,-0.1931,709506101.0,1085413591.3
000001.SH,20251010,3897.0281,3915.4752,3933.0053,3886.305,3933.9724,-36.9443,-0.9391,718917673.0,1132127151.7
000001.SH,20251009,3933.9724,3898.307,3936.5761,3885.7437,3882.7774,51.195,1.3185,725218501.0,1216888716.1
000001.SH,20250930,3882.7774,3869.7046,3887.57,3866.2808,3862.5317,20.2457,0.5242,569734631.0,973274951.6
000001.SH,20250929,3862.5317,3828.1656,3881.0023,3809.5352,3828.106,34.4257,0.8993,608466399.0,968212397.6
000001.SH,20250926,3828.106,3839.8553,3856.6062,3828.106,3853.3021,-25.1961,-0.6539,551275335.0,927864903.4
000001.SH,20250925,3853.3021,3852.431,3866.1058,3840.459,3853.6422,-0.3401,-0.0088,589950531.0,1001211369.1
000001.SH,20250924,3853.6422,3804.4833,3854.923,3804.3279,3821.8327,31.8095,0.8323,602056670.0,1015707870.5
000001.SH,20250923,3821.8327,3830.1379,3838.6059,3774.5282,3828.5764,-6.7437,-0.1761,701902868.0,1071697826.1
000001.SH,20250922,3828.5764,3822.0096,3831.7404,3806.2016,3820.0894,8.487,0.2222,568325686.0,941799982.1
000001.SH,20250919,3820.0894,3830.4437,3843.1696,3811.9029,3831.6562,-11.5668,-0.3019,682292613.0,1016348310.7
000001.SH,20250918,3831.6562,3876.0592,3899.9594,3800.9953,3876.3409,-44.6847,-1.1528,876027389.0,1365962423.6
000001.SH,20250917,3876.3409,3854.0726,3882.6687,3848.9455,3861.8651,14.4758,0.3748,663434713.0,1006679080.9
000001.SH,20250916,3861.8651,3865.9801,3876.6901,3838.6483,3860.5036,1.3615,0.0353,673439723.0,989786137.9
000001.SH,20250915,3860.5036,3876.0974,3879.7365,3855.9725,3870.5984,-10.0948,-0.2608,644793944.0,986171993.9
000001.SH,20250912,3870.5984,3875.5072,3892.7375,3866.5388,3875.3094,-4.711,-0.1216,700641784.0,1093807300.7
000001.SH,20250911,3875.3094,3806.0564,3875.3094,3796.4345,3812.2212,63.0882,1.6549,617012930.0,1016794001.4
000001.SH,20250910,3812.2212,3806.5842,3826.9959,3794.0574,3807.2923,4.9289,0.1295,534539825.0,821113584.5
000001.SH,20250909,3807.2923,3816.6574,3834.671,3791.7243,3826.8407,-19.5484,-0.5108,600239380.0,917795306.2
000001.SH,20250908,3826.8407,3811.6692,3833.143,3803.6033,3812.5143,14.3264,0.3758,660066898.0,1025883750.0
000001.SH,20250905,3812.5143,3761.8801,3817.1589,3745.3091,3765.8759,46.6384,1.2384,626223380.0,979061710.2
000001.SH,20250904,3765.8759,3807.7571,3808.3955,3732.8404,3813.5566,-47.6807,-1.2503,710227933.0,1107892043.2
000001.SH,20250903,3813.5566,3865.286,3868.3877,3794.8837,3858.1334,-44.5768,-1.1554,645668510.0,1012296084.0
000001.SH,20250902,3858.1334,3877.0858,3885.3145,3828.6775,3875.5304,-17.397,-0.4489,762618833.0,1222777664.0
000001.SH,20250901,3875.5304,3869.7457,3879.0453,3853.6584,3857.9274,17.603,0.4563,747709536.0,1208347980.9
000001.SH,20250829,3857.9274,3842.8234,3867.6058,3839.2059,3843.5974,14.33,0.3728,739462366.0,1221691851.6
