workTime,threeMonth,sixMonth,oneYear,twoYear,threeYear,fiveYear,sevenYear,tenYear,fifteenYear,twentyYear,thirtyYear,qxmc
2006-03-01,1.51,1.59,1.68,1.85,2.01,2.36,2.65,2.9,,,3.5,中债国债收益率曲线
2006-03-02,1.47,1.52,1.69,1.86,2.02,2.44,2.66,2.9,,,3.51,中债国债收益率曲线
2006-03-03,1.46,1.51,1.68,1.84,2.0,2.42,2.64,2.87,,,3.5,中债国债收益率曲线
2006-03-06,1.5,1.56,1.73,1.85,2.04,2.46,2.68,2.93,,,3.54,中债国债收益率曲线
2006-03-07,1.47,1.53,1.71,1.83,2.02,2.43,2.65,2.9,,,3.52,中债国债收益率曲线
2006-03-08,1.45,1.52,1.69,1.81,2.01,2.4,2.61,2.88,,,3.48,中债国债收益率曲线
2006-03-09,1.46,1.53,1.68,1.81,2.01,2.39,2.61,2.88,,,3.48,中债国债收益率曲线
2006-03-10,1.46,1.53,1.67,1.82,2.02,2.4,2.61,2.89,,,3.48,中债国债收益率曲线
2006-03-13,1.47,1.54,1.68,1.83,2.03,2.41,2.61,2.9,,,3.48,中债国债收益率曲线
2006-03-14,1.48,1.55,1.69,1.84,2.02,2.4,2.61,2.9,,,3.49,中债国债收益率曲线
2006-03-15,1.5,1.57,1.71,1.85,2.03,2.4,2.6,2.91,,,3.5,中债国债收益率曲线
2006-03-16,1.51,1.58,1.72,1.86,2.02,2.39,2.6,2.91,,,3.51,中债国债收益率曲线
2006-03-17,1.49,1.56,1.7,1.84,2.01,2.37,2.59,2.92,,,3.5,中债国债收益率曲线
2006-03-20,1.51,1.58,1.71,1.85,2.02,2.38,2.6,2.93,,,3.52,中债国债收益率曲线
2006-03-21,1.5,1.57,1.7,1.84,2.01,2.37,2.59,2.92,,,3.51,中债国债收益率曲线
2006-03-22,1.52,1.58,1.71,1.84,2.03,2.39,2.6,2.93,,,3.52,中债国债收益率曲线
2006-03-23,1.51,1.6,1.69,1.9,2.1,2.49,2.71,2.91,,,3.53,中债国债收益率曲线
2006-03-24,1.49,1.58,1.68,1.89,2.09,2.48,2.72,2.9,,,3.52,中债国债收益率曲线
2006-03-27,1.5,1.61,1.71,1.93,2.15,2.55,2.66,2.92,,,3.52,中债国债收益率曲线
2006-03-28,1.49,1.6,1.7,1.93,2.11,2.56,2.65,2.92,,,3.52,中债国债收益率曲线
2006-03-29,1.49,1.62,1.7,1.93,2.19,2.56,2.67,2.94,,,3.5,中债国债收益率曲线
2006-03-30,1.51,1.64,1.72,1.92,2.14,2.47,2.67,2.94,,,3.5,中债国债收益率曲线
2006-03-31,1.51,1.64,1.71,1.91,2.14,2.57,2.68,2.94,,,3.5,中债国债收益率曲线
2006-04-03,1.5,1.64,1.72,1.91,2.0,2.47,2.68,2.92,,,3.52,中债国债收益率曲线
2006-04-04,1.49,1.62,1.73,1.94,2.0,2.48,2.72,2.92,,,3.53,中债国债收益率曲线
2006-04-05,1.49,1.6,1.7,1.94,2.17,2.5,2.67,2.91,,,3.51,中债国债收益率曲线
2006-04-06,1.47,1.58,1.69,1.93,2.17,2.49,2.67,2.94,,,3.5,中债国债收益率曲线
2006-04-07,1.45,1.55,1.64,1.86,2.05,2.48,2.69,2.93,,,3.5,中债国债收益率曲线
2006-04-10,1.45,1.55,1.66,1.88,2.11,2.57,2.69,2.93,,,3.51,中债国债收益率曲线
2006-04-11,1.47,1.57,1.67,1.89,2.15,2.58,2.71,2.97,,,3.53,中债国债收益率曲线
2006-04-12,1.49,1.59,1.69,1.91,2.17,2.59,2.71,2.98,,,3.55,中债国债收益率曲线
2006-04-13,1.48,1.57,1.7,1.9,2.16,2.59,2.72,2.94,,,3.55,中债国债收益率曲线
2006-04-14,1.49,1.58,1.71,1.92,2.17,2.61,2.73,2.95,,,3.55,中债国债收益率曲线
